종목코드,종목명,시장구분,업종명,시가총액
126600,BGF에코머티리얼즈,KOSDAQ,화학,298343802200
126640,화신정공,KOSDAQ,운송장비·부품,66782456532
126700,하이비젼시스템,KOSDAQ,의료·정밀기기,312290140800
126720,수산인더스트리,KOSPI,건설업,320006400000
126880,제이엔케이히터,KOSDAQ,기계·장비,149671624350
127120,디엔에이링크,KOSDAQ,기타서비스,62135570420
127710,아시아경제,KOSDAQ,디지털컨텐츠,56335188348
127980,화인써키트,KOSDAQ,반도체,163332753840
128540,에코캡,KOSDAQ,운송장비·부품,116103501000
128660,피제이메탈,KOSDAQ,금속,98469374930
128820,대성산업,KOSPI,유통업,180941912000
128940,한미약품,KOSPI,의약품,3850301427000
129260,인터지스,KOSPI,운수창고업,76600775550
129890,앱코,KOSDAQ,정보기기,48870890650
129920,대성하이텍,KOSDAQ,기계·장비,135779024700
130500,GH신소재,KOSDAQ,섬유·의류,52071286160
130580,나이스디앤비,KOSDAQ,기타서비스,104566000000
130660,한전산업,KOSPI,서비스업,253302000000
130740,티피씨글로벌,KOSDAQ,운송장비·부품,36310906380
131030,옵투스제약,KOSDAQ,제약,96595908760
131090,시큐브,KOSDAQ,소프트웨어,46992000000
131100,초록뱀이앤엠,KOSDAQ,방송서비스,74327867800
131180,딜리,KOSDAQ,정보기기,41295450000
131220,대한과학,KOSDAQ,유통,53374148400
131290,티에스이,KOSDAQ,반도체,480066018600
131370,알서포트,KOSDAQ,디지털컨텐츠,210937648680
131400,이브이첨단소재,KOSDAQ,IT부품,454611294720
131760,파인텍,KOSDAQ,IT부품,52011041306
131970,두산테스나,KOSDAQ,반도체,552008179800
133750,메가엠디,KOSDAQ,기타서비스,58283621730
133820,화인베스틸,KOSPI,철강금속,68512490220
134060,이퓨쳐,KOSDAQ,출판·매체복제,29855505000
134380,미원화학,KOSPI,화학,142512566400
134580,탑코미디어,KOSDAQ,통신장비,102305204400
134790,시디즈,KOSPI,기타제조업,74700000000
136410,아셈스,KOSDAQ,화학,124846470980
136480,하림,KOSDAQ,음식료·담배,323939591100
136490,선진,KOSPI,음식료품,208071535000
136510,스마트솔루션즈,KOSDAQ,기계·장비,543768699200
136540,윈스,KOSDAQ,소프트웨어,173440666620
137080,나래나노텍,KOSDAQ,기계·장비,105064509000
137310,에스디바이오센서,KOSPI,의료정밀,1744354295100
137400,피엔티,KOSDAQ,기계·장비,1225750572200
137940,넥스트아이,KOSDAQ,의료·정밀기기,43389829568
137950,제이씨케미칼,KOSDAQ,화학,174802339900
138040,메리츠금융지주,KOSPI,기타금융,9755006647300
138070,신진에스엠,KOSDAQ,금속,47083618760
138080,오이솔루션,KOSDAQ,통신장비,176572458900
138360,협진,KOSDAQ,기계·장비,42157396512
138490,코오롱플라스틱,KOSPI,화학,377720000000
138580,비즈니스온,KOSDAQ,소프트웨어,286463270100
138610,나이벡,KOSDAQ,제약,158224341310
138690,엘아이에스,KOSDAQ,반도체,22849431320
138930,BNK금융지주,KOSPI,기타금융,2209840967880
139050,시티랩스,KOSDAQ,컴퓨터서비스,46218398604
139130,DGB금융지주,KOSPI,기타금융,1194169580980
139480,이마트,KOSPI,유통업,2330418468400
139670,키네마스터,KOSDAQ,소프트웨어,91836399720
139990,아주스틸,KOSPI,철강금속,245211792030
140070,서플러스글로벌,KOSDAQ,유통,172549020000
140410,메지온,KOSDAQ,기타서비스,714011880600
140520,대창스틸,KOSDAQ,금속,60794619840
140670,알에스오토메이션,KOSDAQ,IT부품,135267655600
140860,파크시스템스,KOSDAQ,의료·정밀기기,1174636021000
140910,에이리츠,KOSPI,서비스업,17004151920
141000,비아트론,KOSDAQ,반도체,113151391400
141020,디에스앤엘,KOSDAQ,유통,43701490755
141080,레고켐바이오,KOSDAQ,기타서비스,1125823470000
142210,유니트론텍,KOSDAQ,유통,87203056875
142280,녹십자엠에스,KOSDAQ,제약,101785304060
142760,비엘,KOSDAQ,기타서비스,120448126510
143160,아이디스,KOSDAQ,통신장비,235760580000
143210,핸즈코퍼레이션,KOSPI,운수장비,68869294200
143240,사람인,KOSDAQ,인터넷,253331507100
143540,영우디에스피,KOSDAQ,반도체,59630059615
144510,지씨셀,KOSDAQ,기타서비스,736296030400
144960,뉴파워프라즈마,KOSDAQ,기계·장비,265651153920
145020,휴젤,KOSDAQ,제약,1327720776000
145210,다이나믹디자인,KOSPI,기계,123050728800
145270,케이탑리츠,KOSPI,서비스업,49214232576
145720,덴티움,KOSPI,의료정밀,1942579665000
145990,삼양사,KOSPI,음식료품,450697721300
145995,삼양사우,KOSPI,음식료품,10398967000
146320,비씨엔씨,KOSDAQ,반도체,247549878200
147760,피엠티,KOSDAQ,의료·정밀기기,48527099010
147830,제룡산업,KOSDAQ,금속,85200000000
148140,비디아이,KOSDAQ,기계·장비,27653546880
148150,세경하이테크,KOSDAQ,일반전기전자,228615051400
148250,알엔투테크놀로지,KOSDAQ,정보기기,57799074520
148780,비플라이소프트,KOSDAQ,출판·매체복제,41288236925
